Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,TimeCat,Mean,StDev,,Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,Mean,StDev,,TRE Min,TRE Max,Clay,Stir_Time,Mean,StDev,,"Table # | Means, standard deviations, and differences iacross mixing time means (DiffMeans) among clay types. Higher positive DiffMeans indicate better returns on investment of mixing time within that clay type.",,,,,,,,,,
Rhassoul,5m,24.65,23.5,97.2,6,16.20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,5m,32.24,23.3,97.3,5,19.46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,5m,32.24,23.2,97.3,5,19.46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,5m,32.29,21.7,97.4,5,19.48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,5m,32.48,18.9,97.8,5,19.56,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,5m,43.75,20.1,97.6,4,24.40,4,32.94,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10m,15.25,22.8,97.3,8,12.16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10m,24.61,24.4,97.1,6,16.18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10m,24.84,19.6,97.7,6,16.28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10m,32.57,17,98.0,5,19.60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10m,37.59,18.2,97.9,4.5,21.76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10m,37.90,12.3,98.5,4.5,21.89,5,28.79,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
